Word//word combination,Sentiment scores,,,,,,,,Average sentiment score,Notes
дата,0,0,0,0,0,0,0,1,"0,13",
дати,1,0,0,0,2,0,1,2,"0,75",
датований,0,0,1,0,,,,1,"0,40",
датчани,0,2,2,2,0,0,0,1,"0,88",власна вставка
датчик,1,0,1,0,,,,1,"0,60",
дах,0,2,1,0,1,0,1,2,"0,88",
дача,0,0,0,0,,,,2,"0,40",
дбайливий,1,1,2,1,,,,2,"1,40",
дбайливо ,0,1,2,2,,,,2,"1,40",
дбати,1,2,2,1,,,,2,"1,60",
двері,1,1,1,0,2,0,0,1,"0,75",
дверний,0,0,0,0,,,,1,"0,20",
двигун,0,0,1,2,2,1,1,2,"1,13",
двійник,0,0,-1,-1,,,,-2,"-0,80",
двір,0,0,0,0,1,1,1,2,"0,63",
двічі,0,0,0,0,,,,2,"0,40",
двовимірний,0,0,0,0,,,,1,"0,20",
двоїстість,-1,-2,0,0,,,,-1,"-0,80",
двомовний,1,1,1,1,,,,1,"1,00",
двоногий,-1,0,0,2,,,,0,"0,20",
двоповерховий,0,0,1,0,,,,2,"0,60",
дворик,0,1,2,0,,,,1,"0,80",зменш. до двір
двосторонній,0,0,0,0,,,,-1,"-0,20",
двотижневий,0,0,0,0,,,,1,"0,20",
двочлен,0,0,1,0,,,,0,"0,20",
двоюрідний,1,1,0,0,,,,1,"0,60",
двоякий,-1,-1,1,0,,,,-1,"-0,40",
ДВС,-1,0,0,0,0,0,0,0,"-0,13",власна вставка
двуличний,-2,-1,-2,-2,,,,-2,"-1,80",
Дебальцеве,0,-2,-2,-2,-2,-2,-1,1,"-1,25",власна вставка
дебати,-1,-1,1,1,-1,0,-1,0,"-0,25",
дебелий,-1,0,1,0,,,,-2,"-0,40",
дебет,0,0,0,0,,,,1,"0,20",
дебіл,-2,-2,0,-2,,,,-2,"-1,60",???
дебош,-2,-1,-1,-1,,,,-2,"-1,40",???
дебошир,-1,-1,0,-1,,,,-1,"-0,80",розм.
дебоширити,-1,-1,-1,-1,,,,-1,"-1,00",розм.
дебют,1,1,1,2,,,,1,"1,20",
девайс,0,2,-1,2,,,,1,"0,80",
девальвація,0,0,-1,-2,,,,1,"-0,40",
деградація,-2,-2,-1,-1,,,,-2,"-1,60",
деградувати,-2,-2,-1,-1,,,,-2,"-1,60",
дегустатор,1,1,1,1,,,,1,"1,00",
дегустація,1,1,1,1,,,,2,"1,20",
дедлайн,-1,-1,0,0,,,,-1,"-0,60",
дедукція,1,1,1,1,,,,1,"1,00",
дезертир,-1,-1,-1,-1,,,,-2,"-1,20",
дезинфектор,1,1,2,0,,,,1,"1,00",
дезинфікувати,1,1,1,0,,,,2,"1,00",
дезінсекція,1,1,1,0,,,,2,"1,00",
дезінтеграція,0,0,-1,0,,,,-1,"-0,40",
дезінфекція,1,2,1,2,1,-1,1,2,"1,13",
дезінфікуючий ,1,0,2,1,,,,2,"1,20",
дезінформація,-1,-1,-1,-2,-1,-1,0,-1,"-1,00",
дезінформований,-1,0,-2,-2,,,,-1,"-1,20",
дезінформувати,-2,-1,-1,0,,,,-2,"-1,20",
дезорієнтувати,-1,-1,0,0,,,,-2,"-0,80",
декан,1,0,1,1,,,,2,"1,00",
декілька,0,0,1,0,,,,1,"0,40",
декламувати,1,1,1,1,,,,1,"1,00",
декларація,0,0,2,1,,,,2,"1,00",
декларування,1,0,1,0,,,,1,"0,60",
декларувати,1,0,2,1,,,,2,"1,20",
декольте,1,1,1,1,,,,0,"0,80",
декор,0,0,2,1,1,1,1,1,"0,88",
декоративний,1,0,1,1,2,0,2,1,"1,00",
декорація,1,1,2,0,,,,1,"1,00",
декрет,0,0,2,1,,,,1,"0,80",
декретний,1,1,0,0,,,,1,"0,60",власна вставка
делегат,1,0,1,1,,,,1,"0,80",
делегація,1,0,2,1,,,,1,"1,00",
делегітимізувати,0,0,1,0,,,,1,"0,40",
делікатес,1,1,2,1,,,,1,"1,20",
делікатно,1,1,1,1,,,,1,"1,00",
дельфін,2,1,2,2,,,,1,"1,60",
демагогія,-1,0,0,-1,,,,-1,"-0,60",
демарш,0,0,0,0,,,,1,"0,20",
демографічний,0,0,2,0,,,,2,"0,80",
демократ ,1,0,1,2,,,,1,"1,00",
демократизм,1,1,2,0,,,,2,"1,20",
Демократична Республіка Конго,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
демократичний,1,1,1,1,1,1,0,2,"1,00",
демократичність,2,0,1,2,,,,2,"1,40",
демократія,2,2,1,1,2,0,1,2,"1,38",
демон,-1,-1,-2,-1,,,,-2,"-1,40",
демонстрант,-1,-1,0,1,,,,0,"-0,20",
демонстративно,0,1,0,-1,,,,-1,"-0,20",
демонстрація,1,0,0,0,-1,0,1,1,"0,25",
демонструвати,1,1,1,0,1,0,0,1,"0,63",
денаціоналізований,-1,-1,-1,-1,,,,-2,"-1,20",
денний,0,0,0,1,0,0,0,1,"0,25",
день,1,-1,1,2,1,2,2,2,"1,25",
деокупація,2,1,-1,-1,,,,0,"0,20",
департамент,0,-1,0,-1,1,0,1,1,"0,13",
депозитарій,1,0,1,0,,,,0,"0,40",
депортація,-2,-1,0,1,,,,-2,"-0,80",
депортовувати,-2,-1,0,0,,,,-2,"-1,00",чи депортувати? (такої форми дієсл. немає у словниках)
депресивний,-2,-1,-1,-2,,,,-2,"-1,60",
депресія,-2,-2,-1,-2,-2,-2,-2,-2,"-1,88",
депутат,-1,-1,-1,1,-1,-1,-1,0,"-0,63",
депутатка,-1,0,1,-1,,,,0,"-0,20",фемінітив
дерев'яний,1,0,0,1,-1,2,1,2,"0,75",
деревина,0,1,1,0,,,,1,"0,60",
дерево,1,1,1,1,1,1,1,2,"1,13",
держава,1,2,2,1,1,-1,1,2,"1,13",
державний,1,0,-1,0,2,2,-1,2,"0,63",
державність,0,1,1,2,,,,2,"1,20",
державотворення,1,0,0,2,,,,2,"1,00",
держапарт,-1,0,-1,-1,,,,0,"-0,60",
держбюджет,1,0,0,-1,,,,1,"0,20",
Держдума,0,-1,0,-1,,,,1,"-0,20",
Держекоінспекція,-1,-1,1,1,,,,1,"0,20",
Держкомлісгосп,0,-1,1,1,,,,1,"0,40",
держпідтримка,0,-1,2,2,,,,1,"0,80",
держплан,0,0,2,-1,,,,0,"0,20",
Держпродспоживслужба,0,-1,0,1,,,,1,"0,20",
держсекретар,-2,-1,1,0,,,,1,"-0,20",
держслужба,1,-1,1,1,,,,1,"0,60",
держслужбовець ,-1,1,-1,2,,,,1,"0,40",
держуправління,0,0,-1,-1,,,,1,"-0,20",
держустанова,0,-1,1,1,,,,2,"0,60",
держфінансування,-1,-1,0,-1,,,,2,"-0,20",
держчиновник,-1,-1,0,-2,,,,1,"-0,60",
дерибан,1,-1,2,-1,,,,0,"0,20",жаргонізм
десерт,2,2,2,1,,,,2,"1,80",
десигнатор,-1,0,0,0,,,,0,"-0,20",
деспот,-2,-1,-1,-1,,,,-2,"-1,40",
деспотизм,-1,-1,-2,-1,,,,-2,"-1,40",
деспотичний ,-1,-1,-2,-2,,,,-1,"-1,40",
деспотка,-1,-1,-2,-2,,,,-2,"-1,60",фемінітив
дестабілізація,-1,-2,-1,-2,,,,-2,"-1,60",
дестабілізувати,-2,-1,-1,-2,,,,-2,"-1,60",
деструктивний,-1,0,-2,-2,,,,-2,"-1,40",
деструкційний,-2,-1,-1,0,,,,-1,"-1,00",
десятеро,0,0,2,1,,,,1,"0,80",
десятиліття,0,0,0,0,0,0,1,1,"0,25",
десяток,0,0,0,0,0,0,1,1,"0,25",
деталізованість,0,0,0,1,,,,1,"0,40",
деталь,0,0,1,0,1,1,0,1,"0,50",
детальний,0,0,0,2,1,1,0,2,"0,75",
детально,1,1,1,1,,,,2,"1,20",
детектив,0,2,0,0,1,1,0,2,"0,75",
детективний,0,1,1,0,,,,1,"0,60",
детектор,1,0,2,0,,,,0,"0,60",
детермінація,-1,-1,0,0,,,,0,"-0,40",
детермінувати,-1,-1,0,0,,,,0,"-0,40",
детонатор,-2,-2,1,0,,,,-1,"-0,80",
дефект,-1,-1,-2,-1,,,,-2,"-1,40",
дефектний,-1,-1,-1,-1,,,,-2,"-1,20",
дефіцит,-2,-2,-2,-1,-2,-2,-2,-2,"-1,88",
дефіцитний,-1,0,-1,-2,,,,-2,"-1,20",
дефляція,-2,-2,-1,0,,,,-1,"-1,20",
дефолт,-1,-2,0,-1,-1,-1,-2,-2,"-1,25",
деформація,-1,-1,1,0,,,,-1,"-0,40",
деформований,-2,-1,-2,0,,,,-1,"-1,20",
деформувати,-1,-1,1,0,,,,-1,"-0,40",
дехто,-1,0,0,0,,,,0,"-0,20",
децентралізація,0,0,0,0,,,,-1,"-0,20",
децентралізований,-1,0,0,0,,,,-1,"-0,40",
дешевий,1,0,1,0,0,-1,-1,2,"0,25",
дешево,2,2,2,0,,,,2,"1,60",
дешевшати,0,0,-1,1,,,,1,"0,20",
дешифрувати,0,1,1,1,,,,1,"0,80",
дещо,0,0,1,0,,,,0,"0,20",
деякий,0,0,2,0,0,0,0,1,"0,38",
джаз,1,2,-1,1,,,,1,"0,80",
Джакарта,0,0,0,0,0,0,0,2,"0,25",власна вставка
джем,2,2,1,1,,,,1,"1,40",
джерело,2,1,1,1,1,1,1,2,"1,25",2 значення 
джерельний,2,1,1,1,,,,1,"1,20",
джин ,1,0,1,1,,,,0,"0,60","тільки в одн. у значенні ""горілка""; 2 значення "
джинси,-1,-1,0,0,,,,0,"-0,40",
Джорджтаун,0,0,0,0,0,0,0,1,"0,13",власна вставка
джунглі,-1,0,2,0,,,,1,"0,40",
дзвін,1,0,1,2,,,,1,"1,00",
дзвінкий,1,0,1,1,,,,1,"0,80",
дзвінок,1,1,1,2,1,1,1,1,"1,13",
дзвіночок ,2,0,1,1,,,,2,"1,20",зменш.-пестл. до дзвінок
дзвонити,0,1,1,0,1,1,1,2,"0,88",
дзеркало,1,0,0,1,1,0,2,1,"0,75",
дзеркальний,0,0,0,0,,,,-1,"-0,20",
дзьоб,0,0,0,0,,,,1,"0,20",
дзюрчання,0,0,0,1,,,,2,"0,60",
дибом,-1,-1,0,0,,,,-1,"-0,60",
дивак,-1,-1,1,-1,,,,-1,"-0,60",
диван,0,1,0,1,,,,1,"0,60",
дивергенція,1,0,0,0,,,,0,"0,20",
диверсант,-1,0,-1,-1,,,,-1,"-0,80",
диверсантка,-1,-1,1,-1,,,,-1,"-0,60",фемінітив
дивина,1,1,2,1,,,,0,"1,00",
дивитися,2,1,1,1,1,2,0,2,"1,25",
дивіденд,-1,0,1,1,,,,1,"0,40",
дивідендний,0,0,1,0,,,,1,"0,40",
дивізіон,1,0,0,0,,,,1,"0,40",
дивненький,-1,0,0,0,,,,-1,"-0,40",
дивний,-1,0,1,-1,-1,-1,-1,-2,"-0,75",
дивно,-1,0,1,0,0,-1,0,-1,"-0,25",
диво,1,1,1,2,2,2,2,2,"1,63",
дивовижний,1,2,2,1,2,2,2,2,"1,75",
дивосвіт,1,1,1,0,,,,1,"0,80",
дивувати,1,0,1,1,2,0,1,2,"1,00",
дивуватися,1,1,1,1,,,,1,"1,00",
дизайн,0,0,0,0,0,1,2,1,"0,50",
дизайнер,0,0,0,0,1,0,2,1,"0,50",
дизайнерка,1,0,1,1,,,,1,"0,80",фемінітив
дизайнерський,2,1,1,2,,,,1,"1,40",
дизельний,1,1,1,0,,,,1,"0,80",
дизпаливо,1,1,0,1,,,,1,"0,80",
дикий,-1,1,-1,0,-1,0,-1,-2,"-0,63",
дикість,-1,0,1,-1,,,,-1,"-0,40",
дико,-1,0,-1,-2,,,,-2,"-1,20",
диковина,-1,0,2,0,,,,0,"0,20",
диковинка,1,1,1,0,,,,0,"0,60",зменш. до диковина
диктатор,-2,-2,-2,-1,,,,-2,"-1,80",
диктаторський,-2,-1,-2,-1,,,,-2,"-1,60",
диктатура,-2,-1,-2,-2,,,,-2,"-1,80",
диктор,0,1,1,1,,,,1,"0,80",
диктофон,-1,0,1,1,,,,0,"0,20",
диктувати,-1,0,0,0,,,,-1,"-0,40",
дикун,-1,-1,1,0,,,,-2,"-0,60",
дикція,1,1,1,1,,,,1,"1,00",
дилема,-1,0,-1,0,,,,-1,"-0,60",
дилер,-2,0,-2,-2,,,,-2,"-1,60",
дилетант,-1,-2,-1,-1,,,,-1,"-1,20",
дилетантка,-1,-1,0,-1,,,,-1,"-0,80",фемінітив
дилетантство,-1,-2,-1,-1,,,,-1,"-1,20",
дим,-1,-1,0,-1,-1,0,-1,-2,"-0,88",
димар,0,0,0,1,,,,0,"0,20",
диміти ,1,-1,-2,-2,,,,-2,"-1,20",
динаміка,1,0,1,1,1,1,1,1,"0,88",
динаміт,-1,-1,0,-2,,,,-2,"-1,20",
динамічність,1,1,0,0,,,,1,"0,60",
динамічно,0,0,0,1,,,,2,"0,60",
Динамо,1,0,1,0,,,,1,"0,60",
династія,1,0,1,1,,,,1,"0,80",
динозавр,0,1,-1,0,0,0,0,-2,"-0,25",
диня,1,-1,2,1,,,,1,"0,80",
диплом,-1,-1,2,1,,,,2,"0,60",
дипломат,1,0,1,-1,,,,2,"0,60",
дипломатичний,1,1,2,0,,,,2,"1,20",
дипломатичність,0,1,1,1,,,,2,"1,00",
дипломований,1,1,1,2,,,,2,"1,40",
директива,0,0,1,0,,,,0,"0,20",
директор,1,1,1,1,-2,1,2,1,"0,75",
директорка,0,0,0,0,,,,1,"0,20",
дирижабль,1,1,1,1,,,,0,"0,80",
дисгармонія,-2,-1,-1,-1,,,,-2,"-1,40",
дисертація,0,0,0,-1,0,1,0,1,"0,13",
дисидент,-1,-1,-2,0,,,,0,"-0,80",
дискомфорт,-2,-1,-2,-2,,,,-2,"-1,80",
дисконтний,1,0,1,1,,,,0,"0,60",
дискредитаційний,-1,-1,0,0,,,,0,"-0,40",
дискредитація,-1,-1,-1,-1,-1,-1,0,-1,"-0,88",
дискредитувати,-1,-1,-1,-1,-1,-1,0,-1,"-0,88",
дискретність,0,0,0,0,,,,1,"0,20",
дискримінаційний,-1,0,-1,-2,,,,-1,"-1,00",
дискримінація,-1,-1,-2,0,,,,-2,"-1,20",
дискурс,0,0,0,0,,,,1,"0,20",
дискусійний,0,0,1,0,,,,1,"0,40",
дискусія,0,-1,1,0,1,1,1,2,"0,63",
дисонанс,-2,-1,0,-1,,,,-1,"-1,00",
дисперсійний,-1,0,0,0,,,,0,"-0,20",
диспетчер,1,2,2,1,,,,1,"1,40",
дистанційний,0,-1,0,1,1,-1,1,2,"0,38",
дистанційно,0,1,0,1,,,,2,"0,80",
дистанціювання,-1,1,0,1,,,,2,"0,60",
дистанціюватися,0,-1,0,1,,,,2,"0,40",
дистанція,-1,2,2,-1,-1,1,1,2,"0,63",
дистрофік,-1,-1,-1,-1,,,,0,"-0,80",
дисфункція,-2,-1,-2,0,,,,-1,"-1,20",
дисципліна,2,-1,-1,0,2,1,1,2,"0,75",
дисциплінований,1,1,1,1,,,,2,"1,20",
дитбудинок,-2,-1,-2,-1,,,,-1,"-1,40",
дитина,1,-1,2,1,1,2,1,2,"1,13",
дитинство,2,1,1,2,1,2,1,2,"1,50",
дитмайданчик,2,2,-1,1,,,,2,"1,20",
дитсадок,1,0,1,0,,,,2,"0,80",
дитячий,1,2,2,2,1,1,2,2,"1,63",
дифамація,-1,-1,-2,0,,,,-2,"-1,20",
диференціація,0,0,1,0,,,,1,"0,40",
диференційний,1,0,0,0,,,,1,"0,40",
диференційність,0,0,0,0,,,,1,"0,20",
дифтерія,-2,-1,-1,-1,,,,-2,"-1,40",
дихальний,0,0,0,0,,,,1,"0,20",
дихання,1,0,2,0,0,0,1,2,"0,75",
дихати,2,1,0,0,2,1,2,2,"1,25",
диявол,-2,-2,-2,-1,,,,-2,"-1,80",
диявольський,-2,-2,-2,-1,,,,-2,"-1,80",
діабет,-2,-2,-1,-2,,,,-2,"-1,80",власна вставка
діабетик,0,-1,-1,-2,,,,-1,"-1,00",
діагноз,0,0,-1,-1,1,1,-1,-1,"-0,25",
діагностика,1,0,2,0,,,,2,"1,00",
діагностувати,-1,0,-1,0,1,0,1,-1,"-0,13",
діаграма,0,0,0,1,1,1,0,0,"0,38",
діадема,2,2,2,1,,,,0,"1,40",
діалект,0,0,0,1,2,0,0,1,"0,50",
діалог,0,2,0,1,2,1,0,1,"0,88",
діамант,2,1,2,1,,,,2,"1,60",
діаметр,0,0,1,0,,,,0,"0,20",
діапазон,0,1,1,0,,,,1,"0,60",
діарея,-2,-2,-1,-2,,,,-2,"-1,80",
діаспора,1,1,2,1,,,,1,"1,20",
дівати,1,0,0,0,,,,0,"0,20",
дівич-вечір,2,2,2,0,,,,1,"1,40",
дівка,-1,1,1,1,,,,-1,"0,20",
дівоцтво,1,1,2,0,,,,1,"1,00",
дівча ,0,1,0,2,,,,1,"0,80",
дівчина,2,1,1,2,1,1,1,2,"1,38",
дівчинка,1,2,2,0,1,1,2,2,"1,38",
дід,0,0,1,-1,0,1,1,1,"0,38",
діджитальний,0,0,-1,1,,,,1,"0,20",
діджитилізація,2,0,0,0,,,,2,"0,80",
дідівщина,0,-1,-1,-1,,,,0,"-0,60",
дідусь,2,1,1,1,2,1,2,1,"1,38",
дієвий,2,1,1,1,2,1,1,2,"1,38",
дієвість,2,1,1,1,,,,2,"1,40",
дієта,-2,-1,0,1,0,-1,2,-1,"-0,25",
дієтичний,1,0,1,2,,,,2,"1,20",
дієтолог,1,0,1,1,,,,1,"0,80",
дієтологиня,0,0,1,0,,,,1,"0,40",власна вставка; фемінітив
дізнаватися,1,1,0,0,2,2,1,2,"1,13",
дізнатися,0,2,2,0,1,1,1,2,"1,13",
дійсний,1,1,2,0,,,,2,"1,20",
дійсність,0,0,2,0,2,0,1,1,"0,75",
дійсно,0,0,0,0,,,,1,"0,20",
дійство,1,0,1,0,,,,0,"0,40",
дійти,0,1,2,0,,,,2,"1,00",
ділити,0,-1,0,-1,,,,-1,"-0,60",
ділитися,1,1,1,1,1,1,2,1,"1,13",
діло,2,1,-1,0,1,1,2,1,"0,88",
діловий,1,1,1,0,,,,-1,"0,40",
дільниця,0,-1,1,1,,,,1,"0,40",
дільничний,-1,-1,1,0,,,,0,"-0,20",
ділянка,0,0,0,0,1,0,0,1,"0,25",
дім,1,1,-1,1,1,2,2,2,"1,13",
діпфейк,-1,-1,-1,0,,,,0,"-0,60",
діра,-1,0,0,-2,,,,-1,"-0,80",
дірект,1,0,1,0,,,,0,"0,40",
дірка,0,-1,0,-1,-1,0,0,-1,"-0,50",
дірявий,-1,-1,0,0,,,,-2,"-0,80",
діснеївський ,1,1,2,0,,,,1,"1,00",
Дісней,2,1,2,1,,,,2,"1,60",
Діснейленд,0,1,2,2,,,,2,"1,40",
діставати,0,-2,-1,-1,1,0,0,-1,"-0,50",
діставатися,1,0,1,1,,,,1,"0,80",
дістати,-1,0,1,1,,,,2,"0,60",
дістатися,0,1,-1,-1,1,1,1,2,"0,50",
дітвора,1,1,1,2,,,,2,"1,40",
дітки,1,2,2,1,,,,2,"1,60",
дітлахи,1,1,2,1,,,,2,"1,40",
дітовбивець,-2,-2,-2,-2,,,,-2,"-2,00",
діточки ,2,1,1,2,,,,2,"1,60",зменш.-пестл. до діти
діурез,-2,-2,-2,0,,,,-2,"-1,60",
дія,1,2,1,1,1,1,1,1,"1,13",
діяльність,1,1,1,1,2,1,1,2,"1,25",
діяльно,0,1,1,0,,,,1,"0,60",
діяння,0,0,0,2,,,,2,"0,80",
діяти,1,0,2,2,1,0,1,2,"1,13",
діяч,0,1,1,0,,,,2,"0,80",
Дніпро,1,1,2,1,,,,2,"1,40",
дніпропетровський,0,1,1,0,,,,1,"0,60",
Дніпропетровщина,0,1,0,0,,,,1,"0,40",
ДНК,1,0,1,0,,,,1,"0,60",
дно,-1,0,-2,-2,-1,1,-2,-1,"-1,00",
ДНР,-1,-1,0,-2,,,,-1,"-1,00",
доба,0,0,2,0,0,-1,1,1,"0,38",
добавка,0,0,2,1,,,,-1,"0,40",
добажатися,-1,-1,0,0,,,,0,"-0,40",немає у словнику
добалакатися,-2,-1,-1,0,,,,-1,"-1,00",
добачати,1,0,0,0,,,,1,"0,40",
добиватися,2,2,1,1,1,1,1,2,"1,38",
добирати,0,0,-1,1,,,,1,"0,20",
добиратися,0,0,0,1,,,,2,"0,60",
добитий,-2,-2,-1,-1,,,,-2,"-1,60",
добитися,1,2,1,2,,,,2,"1,60",
добича,-1,1,2,1,,,,0,"0,60",
добігати,1,1,1,1,,,,1,"1,00",
добір,0,0,2,0,,,,1,"0,60",
добірка,0,1,1,1,,,,1,"0,80",
добовий,0,0,1,1,,,,1,"0,60",
добре,1,2,1,1,2,1,1,2,"1,38",
добриво,1,1,1,2,,,,2,"1,40",
добрий,1,2,2,1,2,2,2,2,"1,75",
добріхуватися,-2,-1,0,-1,,,,-2,"-1,20",
добро,2,2,2,2,1,2,2,2,"1,88",
добробут,2,2,2,2,1,2,1,2,"1,75",
добровільний,1,1,0,2,,,,2,"1,20",
добровільно,1,1,2,1,,,,2,"1,40",
добровільно-примусово,-2,-2,-1,-1,,,,-2,"-1,60",
доброволець,0,1,-1,0,1,1,1,2,"0,63",
добродій,1,0,1,1,,,,2,"1,00",
добродушний,2,2,1,1,,,,2,"1,60",
доброзичливець,2,1,2,2,,,,2,"1,80",
доброзичливий,2,2,1,0,,,,2,"1,40",
доброзичливість,2,1,2,2,,,,2,"1,80",
добросердечний,2,1,2,2,,,,2,"1,80",
добросердя,2,0,2,2,,,,2,"1,60",
добросовісний,2,1,2,1,,,,2,"1,60",
добросусідський,2,1,2,1,,,,1,"1,40",
доброта,2,2,2,1,2,2,2,2,"1,88",
доброчесність,2,1,2,2,,,,2,"1,80",
добряче,1,1,-1,0,,,,1,"0,40",
добування ,0,1,0,1,,,,1,"0,60",
добувати,1,1,0,1,,,,1,"0,80",
добудувати,1,0,2,1,,,,1,"1,00",
довбати,-1,-2,-1,1,,,,-2,"-1,00",
довбун,-1,-1,-2,-1,,,,-2,"-1,40",
довгий,2,1,1,1,1,1,0,-1,"0,75",
довго,-1,-1,2,-1,-1,2,0,-1,"-0,13",
довгожитель,2,1,2,2,,,,2,"1,80",
довголіття,2,1,2,2,,,,2,"1,80",
довгоочікуваний,1,1,0,1,,,,2,"1,00",
довгостроковий,1,0,0,-1,,,,-1,"-0,20",
довготривалий,1,2,1,-1,-1,-1,1,1,"0,38",
доведення,0,1,1,1,,,,1,"0,80",
довершеність,1,1,2,2,,,,2,"1,60",
довести,-1,1,1,1,1,1,-2,2,"0,50",
довестися,0,0,-1,-1,,,,1,"-0,20",
довжина,0,0,0,0,0,1,1,1,"0,38",
довідка,0,0,0,1,0,1,0,1,"0,38",
довідник,1,0,2,1,,,,1,"1,00",
довільний,0,1,1,1,,,,-1,"0,40",
довіра,1,2,2,2,2,2,2,2,"1,88",
довіритися,1,0,1,1,,,,2,"1,00",
довіряти,1,1,2,2,1,2,1,2,"1,50",
довічний,0,-1,-1,1,,,,-2,"-0,60",
довкілля,1,0,0,1,2,2,2,2,"1,25",
довкола ,0,1,1,0,,,,1,"0,60",2 значення: присл. та прийм.
доводити,0,0,0,1,-1,2,0,2,"0,50",
доводитися,-1,-1,0,-1,-1,0,-1,1,"-0,50",
доволі,0,0,1,0,,,,1,"0,40",
довольнятися,-1,-1,1,0,,,,0,"-0,20",немає у словнику
доганяти,1,1,1,1,,,,1,"1,00",
догляд,0,0,0,-1,1,1,2,1,"0,50",
доглядати,1,1,2,1,,,,2,"1,40",
доглядач,-1,0,1,1,,,,2,"0,60",
доглядачка,1,1,2,1,,,,2,"1,40",власна вставка; фемінітив
доглянутий,1,1,2,2,,,,2,"1,60",
договір,2,1,1,1,0,1,0,1,"0,88",
договорюватися,-2,-1,2,1,,,,1,"0,20",
догорілий,-1,-2,-1,0,,,,-2,"-1,20",
дограватися,-2,-1,-1,0,,,,-1,"-1,00",
додавання,1,0,1,1,,,,1,"0,80",
додавати,2,1,-1,1,2,1,1,1,"1,00",
додаватися,1,1,1,0,,,,1,"0,80",
доданий,0,1,1,0,,,,1,"0,60",
додати,1,1,1,1,1,1,1,1,"1,00",
додатковий,1,1,1,1,-1,1,1,1,"0,75",
додатково,1,0,1,1,,,,1,"0,80",
додаток,1,2,1,1,1,1,0,1,"1,00",
Додома,0,1,0,0,0,0,0,0,"0,13",власна вставка
додому,0,1,2,2,2,1,2,2,"1,50",
додумувати,-1,-1,1,1,,,,1,"0,20",
доєднуватися,1,1,1,1,,,,2,"1,20",немає у СУМ
доживати,-1,1,2,-1,,,,-2,"-0,20",
дожити,-1,1,2,1,,,,-2,"0,20",
доза,-1,0,0,-1,,,,-1,"-0,60",
дозатор,1,0,1,0,,,,0,"0,40",
дозвіл,1,1,0,0,2,2,2,1,"1,13",
дозвілля ,1,1,1,0,,,,2,"1,00",
дозволений,1,2,1,2,,,,1,"1,40",
дозволити,1,1,1,1,0,1,1,1,"0,88",
дозволяти,1,1,1,2,1,2,2,1,"1,38",
дозиметр,1,1,0,0,,,,0,"0,40",
дозрілий,2,1,1,0,,,,2,"1,20",
дозувати,0,0,1,0,,,,1,"0,40",
дозуючий,1,0,1,0,,,,1,"0,60",
доісторичний,0,0,1,1,,,,1,"0,60",
доїння,-1,0,1,1,,,,1,"0,40",
доїхати,0,0,2,1,,,,1,"0,80",
доказ,1,1,1,0,1,1,1,2,"1,00",
доказовість,1,1,1,0,,,,1,"0,80",
докір,0,-1,-2,-1,-1,-1,0,-1,"-0,88",
докірливий,-1,-1,0,0,,,,-2,"-0,80",
докладати,0,-1,1,0,1,1,2,1,"0,63",
докладний,1,1,1,2,,,,1,"1,20",
докладність,1,1,1,2,,,,2,"1,40",
докладніше,2,1,1,1,,,,1,"1,20",
докладно,1,1,2,1,,,,1,"1,20",
докласти,0,1,2,0,,,,1,"0,80",
доклінічний,-1,0,0,0,,,,0,"-0,20",
доконати,-2,-2,-1,0,,,,-1,"-1,20",
докопуватися,-2,-1,1,0,,,,-2,"-0,80",
докорінно ,1,1,1,0,,,,1,"0,80",
доктор,0,0,1,0,1,1,1,2,"0,75",
докторський,0,0,1,1,,,,1,"0,60",
доктрина,0,0,1,1,,,,1,"0,60",
докумекати,1,1,1,1,,,,0,"0,80",розм.
документ,1,1,1,2,1,0,2,1,"1,13",
документальний,1,1,2,0,,,,1,"1,00",
документація,0,0,1,0,,,,1,"0,40",
документообіг,1,0,1,-2,,,,1,"0,20",
докупи,1,0,2,0,,,,1,"0,80",
докупляти,1,1,1,2,,,,1,"1,20",
докучати,-1,-1,-1,-1,,,,-2,"-1,20",
долар,1,2,1,1,1,2,2,1,"1,38",
долати,0,2,0,1,2,2,1,2,"1,25",
доленосний,0,1,1,1,,,,2,"1,00",
долина,1,0,1,0,,,,1,"0,60",
долити,1,-1,1,1,,,,1,"0,60",
долоня,1,1,1,0,,,,0,"0,60",
долучати,1,-1,0,1,,,,1,"0,40",
долучатися,0,1,1,1,,,,2,"1,00",
долучитися,1,1,1,0,,,,2,"1,00",
долька,1,1,1,0,,,,0,"0,60",2 значення
доля,0,1,1,-1,1,1,1,2,"0,75",
доля ,1,0,2,1,,,,1,"1,00",
домагання,-2,-2,0,-1,,,,-2,"-1,40",
домагатися,-2,-2,0,-1,,,,-2,"-1,40",
домалювати,0,0,2,1,,,,1,"0,80",
домашній,2,2,2,1,2,1,2,2,"1,75",
домівка,2,1,0,1,1,1,1,2,"1,13",
домінант,-2,-1,-1,1,,,,-1,"-0,80",
домінанта,0,0,1,1,,,,1,"0,60",
Домініка,0,0,-1,0,0,0,0,0,"-0,13",власна вставка
домініканець,0,0,0,1,,,,1,"0,40",
Домініканська Республіка,0,0,0,0,0,0,0,1,"0,13",власна вставка
домінування,1,0,0,1,,,,-1,"0,20",
домінувати,-1,1,1,1,0,1,0,1,"0,50",
